股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間
1326,台化,51.0,83.25,69.65,64.02,3.26,2.45,0.81,49.81,41.34,32.87,134458,71740,1.87,2983.0,54.13,0.5,0.98,2026-02-28 15:31:06
1337,再生-KY,5.43,45.21,30.47,33.33,0.06,0.09,-0.03,6.04,5.53,5.03,516,665,0.78,14.6,,,,2026-02-28 15:31:07
1338,廣華-KY,18.5,17.28,16.63,7.69,-0.43,-0.31,-0.12,20.93,19.67,18.42,483,246,1.96,14.94,2.15,0.78,4.22,2026-02-28 15:31:08
1339,昭輝,44.2,74.78,66.48,51.25,0.03,-0.12,0.15,44.73,43.33,41.92,115,82,1.39,32.76,21.46,3.0,6.79,2026-02-28 15:31:09
1340,勝悅-KY,7.15,69.63,59.9,52.97,0.03,-0.05,0.08,7.41,6.89,6.37,144,387,0.37,10.93,,,,2026-02-28 15:31:10
1341,富林-KY,62.0,90.44,86.82,69.66,0.97,0.54,0.43,62.52,59.24,55.96,2,14,0.14,32.77,15.54,5.2,8.39,2026-02-28 15:31:11
1342,八貫,101.5,66.91,67.83,71.34,2.64,2.28,0.36,104.88,97.72,90.55,882,736,1.2,79.17,18.16,6.0,5.91,2026-02-28 15:31:12
1402,遠東新,28.8,74.97,64.98,56.41,0.06,0.01,0.05,28.91,28.26,27.62,29278,16718,1.75,1541.4,17.35,1.6,5.56,2026-02-28 15:31:13
1409,新纖,15.55,78.33,69.15,55.32,0.09,0.02,0.07,15.78,15.21,14.63,3893,4689,0.83,250.93,12.96,0.6,3.86,2026-02-28 15:31:15
1410,南染,33.5,57.7,53.74,50.0,-0.11,-0.14,0.03,34.0,33.54,33.08,59,75,0.78,20.77,59.82,0.51,1.52,2026-02-28 15:31:16
1413,宏洲,10.0,64.4,57.75,51.59,0.02,0.0,0.02,10.18,9.95,9.72,10,23,0.44,13.21,22.73,,,2026-02-28 15:31:17
1414,東和,19.85,85.34,79.53,60.87,0.24,0.21,0.02,20.17,19.5,18.84,299,266,1.13,35.37,152.69,0.26,1.31,2026-02-28 15:31:18
1416,廣豐,11.8,53.49,41.79,50.0,-0.01,-0.02,0.01,11.85,11.73,11.62,216,198,1.09,21.87,15.13,0.56,4.75,2026-02-28 15:31:19
1417,嘉裕,8.82,59.25,58.67,47.46,-0.01,-0.02,0.01,8.93,8.78,8.63,74,109,0.68,16.75,,,,2026-02-28 15:31:20
1418,東華,19.9,60.13,49.79,49.02,-0.08,-0.06,-0.02,20.25,19.84,19.42,17,33,0.53,10.81,,,,2026-02-28 15:31:22
1419,新紡,67.8,19.22,22.81,30.8,-1.23,-0.62,-0.61,80.91,72.1,63.29,183,338,0.54,202.88,15.2,1.5,2.21,2026-02-28 15:31:23
1423,利華,38.1,62.91,63.6,47.5,-0.01,-0.03,0.03,38.42,38.11,37.8,21,47,0.45,37.97,8.96,0.8,2.1,2026-02-28 15:31:24
1432,大魯閣,17.95,37.94,57.34,40.98,0.07,0.17,-0.1,19.44,18.65,17.86,468,802,0.58,19.39,,,,2026-02-28 15:31:25
1434,福懋,18.3,86.97,81.17,62.03,0.46,0.37,0.09,18.52,17.3,16.08,3703,3497,1.06,307.89,52.29,0.8,4.37,2026-02-28 15:31:26
1435,中福,23.9,79.86,74.24,66.41,0.33,-0.02,0.36,23.76,21.75,19.75,6,16,0.36,33.41,,,,2026-02-28 15:31:27
1436,華友聯,56.8,41.13,38.84,31.25,-1.2,-1.07,-0.13,63.9,59.91,55.92,604,318,1.9,98.09,9.4,7.53,13.26,2026-02-28 15:31:29
1437,勤益控,33.3,85.01,67.97,60.42,0.03,-0.11,0.14,33.3,32.49,31.68,103,117,0.88,67.22,15.93,1.83,5.5,2026-02-28 15:31:30
1438,三地開發,34.5,82.81,70.77,60.0,0.28,-0.12,0.41,35.38,32.74,30.11,43,76,0.57,38.37,,,,2026-02-28 15:31:31
1439,雋揚,29.4,49.27,61.88,43.64,0.02,0.12,-0.09,30.27,29.81,29.34,62,85,0.72,27.05,10.58,0.3,1.02,2026-02-28 15:31:32
