股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,EPS,每股配息,殖利率,更新時間,交易日
2881,富邦金,95.2,79.93,64.43,K>D,60.38,-0.27,-0.64,0.37,DIF>MACD,95.74,93.17,90.59,89.5,17204,14361,1.2,13335.01,11.43,8.33,4.15,4.36,2026-02-11 23:24:55,
2882,國泰金,78.8,81.67,66.99,K>D,64.55,0.78,0.66,0.12,黃金交叉,78.38,76.23,74.09,109.7,29434,20286,1.45,11559.34,14.73,5.35,3.5,4.44,2026-02-11 23:24:57,
2883,凱基金,19.25,85.07,77.51,K>D,80.0,0.38,0.31,0.07,DIF>MACD,19.04,18.2,17.36,112.8,79832,65162,1.23,3267.66,14.26,1.35,0.84,4.36,2026-02-11 23:24:58,
2884,玉山金,34.15,84.12,80.48,黃金交叉,61.4,0.28,0.25,0.03,DIF>MACD,34.31,33.46,32.6,90.6,34714,28343,1.22,5523.42,17.6,1.94,1.2,3.51,2026-02-11 23:24:59,
2885,元大金,44.75,77.44,70.52,K>D,77.39,0.99,0.88,0.12,DIF>MACD,44.36,42.53,40.69,110.5,23320,20889,1.12,5965.69,16.82,2.66,1.5,3.35,2026-02-11 23:25:00,
2886,兆豐金,40.05,83.53,67.49,K>D,56.82,-0.14,-0.24,0.1,DIF>MACD,40.84,39.7,38.55,65.6,25165,18297,1.38,5960.79,17.57,2.28,1.6,4.0,2026-02-11 23:25:01,
2887,台新新光金,24.0,86.34,78.35,K>D,76.39,0.71,0.66,0.06,DIF>MACD,24.15,22.82,21.49,94.5,81243,69528,1.17,5967.91,15.79,1.52,0.9,3.75,2026-02-11 23:25:02,
2889,國票金,17.2,74.02,59.15,K>D,66.67,0.08,0.03,0.05,DIF>MACD,17.12,16.62,16.12,108.5,10463,5962,1.75,624.97,29.15,0.59,0.3,1.74,2026-02-11 23:25:04,
2890,永豐金,31.1,87.29,78.25,K>D,76.92,0.41,0.24,0.17,DIF>MACD,30.48,29.29,28.1,125.8,44581,29332,1.52,4507.11,16.9,1.84,0.91,2.93,2026-02-11 23:25:05,
2891,中信金,52.2,74.12,65.3,K>D,62.96,0.72,0.75,-0.03,DIF<MACD,52.24,51.17,50.09,98.2,33824,26598,1.27,10271.82,13.96,3.74,2.3,4.41,2026-02-11 23:25:06,
2892,第一金,29.45,78.32,62.85,K>D,56.1,-0.02,-0.04,0.02,黃金交叉,29.83,29.2,28.58,69.5,22683,17048,1.33,4234.75,16.09,1.83,0.95,3.23,2026-02-11 23:25:07,
2897,王道銀行,9.7,90.08,83.62,K>D,95.16,0.08,0.03,0.05,DIF>MACD,9.49,9.2,8.91,137.6,15971,6431,2.48,269.89,14.7,0.66,0.5,5.15,2026-02-11 23:25:08,
2901,欣欣,24.5,41.45,34.78,黃金交叉,50.82,-0.08,-0.06,-0.02,DIF<MACD,25.0,24.6,24.19,37.9,57,52,1.1,17.9,72.06,0.34,0.37,1.51,2026-02-11 23:25:10,
2903,遠百,22.95,78.6,77.11,K>D,67.86,0.24,0.1,0.15,DIF>MACD,23.51,22.39,21.27,75.2,4615,3547,1.3,323.3,13.83,1.66,1.35,5.88,2026-02-11 23:25:11,
2904,匯僑,17.05,47.22,37.86,K>D,52.94,-0.01,-0.01,-0.0,DIF<MACD,17.19,17.07,16.95,40.6,79,41,1.91,13.27,11.92,1.43,1.0,5.87,2026-02-11 23:25:12,
2905,三商,15.6,69.29,52.85,K>D,53.19,-0.1,-0.13,0.03,DIF>MACD,15.96,15.49,15.01,61.8,1009,748,1.35,164.31,41.05,0.38,0.3,1.92,2026-02-11 23:25:13,
2906,高林,12.5,50.56,47.27,黃金交叉,53.85,-0.08,-0.09,0.01,DIF>MACD,12.7,12.49,12.27,52.9,149,158,0.94,26.14,32.89,0.38,0.6,4.8,2026-02-11 23:25:14,
2908,特力,20.85,80.34,72.3,K>D,73.91,0.07,0.01,0.06,DIF>MACD,20.66,20.32,19.99,129.1,225,175,1.28,106.31,160.38,0.13,0.9,4.32,2026-02-11 23:25:15,
2910,統領,21.45,71.82,62.95,黃金交叉,76.67,0.08,0.04,0.04,DIF>MACD,21.32,20.98,20.63,119.0,21,6,3.14,37.62,17.88,1.2,0.95,4.43,2026-02-11 23:25:17,
2911,麗嬰房,5.14,48.15,48.61,K<D,56.19,0.04,0.06,-0.02,DIF<MACD,5.27,5.12,4.98,56.0,70,39,1.77,5.4,,,,,2026-02-11 23:25:18,
2912,統一超,223.0,82.76,75.88,K>D,63.01,-0.14,-1.7,1.56,DIF>MACD,225.92,216.57,207.23,84.4,1932,2455,0.79,2318.36,20.84,10.7,9.0,4.04,2026-02-11 23:25:19,
2913,農林,12.95,37.24,29.54,K>D,47.62,-0.14,-0.14,-0.0,DIF<MACD,13.61,13.11,12.62,33.5,727,942,0.77,102.31,,,,,2026-02-11 23:25:20,
2915,潤泰全,52.2,77.82,58.96,K>D,56.36,-0.45,-0.68,0.24,DIF>MACD,53.21,51.54,49.88,69.7,1099,1468,0.75,557.35,6.08,8.58,2.5,4.79,2026-02-11 23:25:21,
2923,鼎固-KY,22.7,72.89,59.82,K>D,71.88,0.18,-0.03,0.21,DIF>MACD,21.98,20.24,18.5,120.6,381,104,3.64,395.05,37.83,,0.24,1.06,2026-02-11 23:25:22,
2929,淘帝-KY,7.6,24.29,25.64,K<D,47.2,-0.05,-0.04,-0.01,DIF<MACD,8.03,7.79,7.55,11.2,320,213,1.5,8.32,54.29,0.14,,,2026-02-11 23:25:24,
2939,永邑-KY,23.75,79.59,68.36,K>D,58.28,0.09,-0.29,0.39,DIF>MACD,24.8,22.25,19.7,79.4,18,95,0.19,10.82,,,,,2026-02-11 23:25:25,
2945,三商家購,41.9,46.2,42.78,黃金交叉,63.79,0.93,0.96,-0.03,DIF<MACD,44.42,40.92,37.43,63.9,35,30,1.16,28.28,21.06,1.99,1.5,3.58,2026-02-11 23:25:26,
3002,歐格,21.55,42.34,30.15,K>D,37.9,-0.91,-0.95,0.04,黃金交叉,24.48,22.3,20.12,32.9,243,391,0.62,21.84,50.12,0.43,0.7,3.25,2026-02-11 23:25:27,
3003,健和興,49.1,57.22,45.05,K>D,42.22,-0.02,0.0,-0.03,DIF<MACD,50.69,48.49,46.3,63.8,361,210,1.71,76.43,33.86,1.45,2.0,4.07,2026-02-11 23:25:28,
3004,豐達科,112.5,51.0,41.34,K>D,42.11,0.25,0.8,-0.55,DIF<MACD,120.24,113.35,106.46,43.8,367,365,1.0,71.96,18.38,6.12,2.95,2.62,2026-02-11 23:25:30,
3005,神基,110.5,25.23,24.4,黃金交叉,23.33,-1.79,-1.59,-0.2,DIF<MACD,119.38,114.0,108.62,17.5,4045,3192,1.27,686.03,13.88,7.96,5.99,5.42,2026-02-11 23:25:31,
