股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,BB上軌,BB下軌,成交量張,量比,市值億,本益比,每股配息,殖利率,更新時間
1904,正隆,18.8,,,,,,,,,,,,,,2026-02-25
1905,華紙,12.55,,,,,,,,,,,,,,2026-02-25
1906,寶隆,11.9,,,,,,,,,,,,,,2026-02-25
1907,永豐餘,26.25,,,,,,,,,,,,,,2026-02-25
1909,榮成,10.05,,,,,,,,,,,,,,2026-02-25
2002,中鋼,21.25,,,,,,,,,,,,,,2026-02-25
2006,東和鋼鐵,73.4,,,,,,,,,,,,,,2026-02-25
2007,燁興,8.49,,,,,,,,,,,,,,2026-02-25
2008,高興昌,30.0,,,,,,,,,,,,,,2026-02-25
2009,第一銅,46.35,,,,,,,,,,,,,,2026-02-25
2010,春源,22.9,,,,,,,,,,,,,,2026-02-25
2012,春雨,17.15,,,,,,,,,,,,,,2026-02-25
2013,中鋼構,43.05,,,,,,,,,,,,,,2026-02-25
2014,中鴻,18.8,,,,,,,,,,,,,,2026-02-25
2015,豐興,67.7,,,,,,,,,,,,,,2026-02-25
2017,官田鋼,9.02,,,,,,,,,,,,,,2026-02-25
2020,美亞,24.55,,,,,,,,,,,,,,2026-02-25
2022,聚亨,9.12,,,,,,,,,,,,,,2026-02-25
2023,燁輝,14.8,,,,,,,,,,,,,,2026-02-25
2024,志聯,16.4,,,,,,,,,,,,,,2026-02-25
2025,千興,12.15,,,,,,,,,,,,,,2026-02-25
2027,大成鋼,37.5,,,,,,,,,,,,,,2026-02-25
2028,威致,19.3,,,,,,,,,,,,,,2026-02-25
2029,盛餘,21.8,,,,,,,,,,,,,,2026-02-25
2030,彰源,16.65,,,,,,,,,,,,,,2026-02-25
2031,新光鋼,40.0,,,,,,,,,,,,,,2026-02-25
2032,新鋼,16.55,,,,,,,,,,,,,,2026-02-25
2033,佳大,16.6,,,,,,,,,,,,,,2026-02-25
2034,允強,21.0,,,,,,,,,,,,,,2026-02-25
2038,海光,15.35,,,,,,,,,,,,,,2026-02-25
2049,上銀,225.0,,,,,,,,,,,,,,2026-02-25
2059,川湖,3360.0,,,,,,,,,,,,,,2026-02-25
2062,橋椿,21.45,,,,,,,,,,,,,,2026-02-25
2069,運錩,19.0,,,,,,,,,,,,,,2026-02-25
2101,南港,36.0,,,,,,,,,,,,,,2026-02-25
2102,泰豐,20.7,,,,,,,,,,,,,,2026-02-25
2103,台橡,20.8,,,,,,,,,,,,,,2026-02-25
