股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間,交易日
1417,嘉裕,8.32,32.14,46.62,K<D,23.57,-0.04,-0.02,-0.03,DIF<MACD,8.94,8.79,8.64,0.0,178,119,1.57,16.24,,,,2026-02-03 23:24:45,
1418,東華,19.64,22.22,32.44,K<D,43.71,-0.01,0.01,-0.02,DIF<MACD,20.15,19.94,19.73,37.85,19,20,1.19,10.78,,,,2026-02-03 23:24:47,
1419,新紡,69.93,28.49,43.26,K<D,44.95,0.75,1.62,-0.87,DIF<MACD,80.59,74.22,67.84,11.82,427,372,1.02,210.66,15.78,1.5,2.13,2026-02-03 23:24:48,
1423,利華,37.48,31.58,36.67,K<D,35.86,-0.09,-0.08,-0.01,DIF<MACD,38.49,38.14,37.78,37.09,9,13,0.24,37.87,8.94,0.8,2.11,2026-02-03 23:24:49,
1432,大魯閣,18.86,50.89,55.46,K<D,55.18,0.11,0.1,0.01,DIF>MACD,18.79,18.26,17.72,68.21,139,217,0.6,19.98,,,,2026-02-03 23:24:50,
1434,福懋,16.8,54.39,60.49,K<D,62.93,0.27,0.25,0.02,DIF>MACD,17.54,16.57,15.61,62.14,3255,4315,0.64,285.18,48.43,0.8,4.72,2026-02-03 23:24:51,
1435,中福,21.22,60.83,56.68,K>D,42.66,-0.32,-0.38,0.06,DIF>MACD,22.37,21.5,20.63,48.8,14,7,2.28,30.05,,,,2026-02-03 23:24:52,
1436,華友聯,60.05,18.32,25.12,K<D,30.51,-0.71,-0.52,-0.19,DIF<MACD,63.39,61.68,59.97,0.68,190,238,0.54,103.45,9.9,7.53,12.57,2026-02-03 23:24:54,
1437,勤益控,31.51,41.26,61.08,K<D,47.81,-0.15,-0.16,0.0,DIF>MACD,33.0,32.45,31.9,25.32,98,97,1.48,65.0,15.41,1.83,5.68,2026-02-03 23:24:55,
1438,三地開發,32.33,37.63,40.17,K<D,35.05,-0.31,-0.24,-0.07,DIF<MACD,33.66,32.93,32.19,0.0,32,28,1.59,35.31,,,,2026-02-03 23:24:56,
1439,雋揚,29.14,62.73,54.01,K>D,28.81,0.2,0.29,-0.09,DIF<MACD,30.63,29.94,29.25,49.29,12,25,0.22,27.51,10.76,0.3,1.0,2026-02-03 23:24:57,
