股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1449,佳和,12.0,58.26,67.03,65.04,0.32,0.09,0.23,12.94,11.13,9.33,1868,6059,0.31,15.25,100.0,0.33,2.75,2026-03-24,2026-03-24 07:31:46
1451,年興,17.7,39.07,49.33,40.0,-0.01,0.05,-0.06,18.7,18.14,17.59,80,127,0.63,35.05,10.06,1.0,5.65,2026-03-24,2026-03-24 07:31:47
1452,宏益,11.05,30.96,37.35,42.86,-0.14,-0.15,0.01,11.62,11.27,10.91,96,68,1.4,14.66,5.58,0.5,4.52,2026-03-24,2026-03-24 07:31:48
1453,大將,12.4,36.19,32.04,55.1,-0.1,-0.1,-0.0,13.28,12.52,11.77,68,142,0.48,14.04,310.0,,,2026-03-24,2026-03-24 07:31:48
1454,台富,12.75,21.09,22.88,45.45,-0.24,-0.21,-0.03,14.13,13.12,12.11,11,25,0.43,15.57,,0.25,1.96,2026-03-24,2026-03-24 07:31:50
1455,集盛,8.86,54.82,64.77,63.75,0.19,0.17,0.02,9.58,8.77,7.95,958,1132,0.85,47.11,12.31,,,2026-03-24,2026-03-24 07:31:51
1456,怡華,14.5,69.17,73.6,62.89,0.31,0.17,0.14,14.62,13.49,12.36,281,243,1.16,13.59,4.26,,,2026-03-24,2026-03-24 07:31:52
1457,宜進,16.2,78.52,75.81,69.39,0.19,0.13,0.06,16.49,15.8,15.1,137,203,0.67,37.83,13.73,1.0,6.17,2026-03-24,2026-03-24 07:31:55
1459,聯發,11.6,17.52,21.31,37.04,-0.07,-0.03,-0.03,12.46,11.91,11.36,63,140,0.45,36.83,8.35,,,2026-03-24,2026-03-24 07:31:56
1460,宏遠,7.23,80.22,74.67,66.94,0.11,0.08,0.03,7.2,6.88,6.56,1656,1187,1.4,48.76,11.12,,,2026-03-24,2026-03-24 07:31:58
1463,強盛新,18.0,77.44,70.89,51.72,-0.03,-0.03,-0.0,18.46,18.01,17.56,121,100,1.21,30.89,138.46,2.1,11.67,2026-03-24,2026-03-24 07:31:59
